id,name,jl_number,longitude,latitude,ac_id
34297,Bamni,26,86.76928869999998,23.0547157,925
34318,Makarkendi,48,87.03619169999996,23.1863664,928
34332,Pratappur,63,87.30285579999996,23.4707709,929
34347,Challa,79,87.2357086,23.3208806,929
34355,Bankata,88,86.99868909999998,22.9148971,927
34363,Udaypur,97,86.90981590000001,23.5452784,923
34364,Bamundihi,98,86.966163,22.8666675,926
34370,Dhanara,104,86.9849308,22.7375562,926
34372,Hallapur,107,86.72717709999998,22.9965857,925
34397,Simlabandh,134,86.7479232,23.0557671,925
34403,Bankata,140,86.99868909999998,22.9148971,927
34407,Barkuri,144,87.07860440000002,23.2324146,928
34431,Gobarda,169,86.8245443,23.0022774,925
34436,Radhamadhabpur,156,87.43438359999998,23.0117904,932
34448,Jamda,266,86.88099090000001,22.9007378,926
34449,Dhagara,267,86.7893889,22.9777702,925
34451,Sikari Jangal,269,86.7101965,22.9568157,925
34467,Baroghutu,116,86.77894099999996,22.992554,925
34517,Dabra,165,87.0811561,23.202077600000006,928
34523,Chalka,175,86.76803220000002,23.1573184,924
34559,Radhamohan,212,87.45074269999998,23.3387809,934
34560,Haridi,213,86.82956449999998,23.2582068,924
34572,Hitiramgora,225,86.87785579999998,23.061901100000004,925
34585,Jaypur,238,87.44801149999998,23.0551658,932
34612,Ladda,277,86.7391229,22.9172437,925
34615,Rangametiya,280,86.85716590000001,23.3093201,924
34616,Bargoria,281,87.2854565,23.4258568,929
34634,Brajarajpur,299,86.93361499999996,23.0951628,924
34697,Jorsal,46,87.22450800000001,23.2596989,930
34712,Barkala,61,86.8784835,22.665578600000003,926
34725,Sarga,74,86.6144922,22.8149769,925
34737,Danga,86,86.8747223,23.1758217,924
34762,Dhanparha,111,86.9849308,22.7375562,926
34774,Madhuban,123,87.3525325,23.0878276,931
34783,Mahulbani,132,86.93361499999996,22.8154543,926
34840,Kanchanpur,54,87.0942627,23.3116417,928
34973,Murgorha,91,86.84838529999998,22.9536576,925
35022,Gobindodih,46,87.10674190000002,23.3535138,929
35050,Kusumtikari,74,86.99868909999998,22.810734600000004,926
35070,Pratappur,94,87.30285579999996,23.4707709,929
35082,Ranga,106,86.7944127,23.084974,925
35110,Haridi,134,86.82956449999998,23.2582068,924
35136,Kharipahari,15,86.8747223,23.4315964,924
35139,Raotora,18,86.66362690000003,22.8264226,925
35145,Dhanarha,24,86.9849308,22.7375562,926
35151,Pratappur,30,87.30285579999996,23.4707709,929
35184,Rangametya,63,86.8609285,23.4209136,924
35196,Banjora,75,87.2294864,23.5096392,923
35199,Siromonipur,78,87.58107940000002,22.9466393,932
35205,Brajarajpur,84,86.93361499999996,23.0951628,924
35239,Patpur,118,87.06117720000002,23.2314562,928
35244,Dhadanga,123,86.8659449,22.9004432,925
35246,Metyala,125,87.14478309999998,23.0976162,930
35275,Kalachandpur,154,86.77305809999999,23.1901401,924
35276,Shuknibasa,155,86.7944127,22.7398181,925
35294,Murjabani,173,86.87597609999997,23.3557914,924
35365,Udaypur,28,86.90981590000001,23.5452784,923
35384,Hinjuri,47,87.3996765,23.1213423,931
35403,Joypur,66,87.44801149999998,23.0551658,932
35416,Kusumtikri,79,86.99868909999998,22.810734600000004,926
35430,Pratappur,94,87.30285579999996,23.4707709,929
35500,Metyala,51,87.14478309999998,23.0976162,930
35507,Birudi,58,86.88851209999999,22.8681509,926
35512,Chandai,63,87.3438429,23.3866994,929
35523,Bhakaudih,75,87.59980650000001,23.0365931,933
35581,Dumuria,133,86.99306120000001,23.1877835,928
35721,Baradi,271,86.93611949999998,22.8869259,926
35735,Rangametya,100,86.8609285,23.4209136,924
35736,Dumuriakuri,101,87.1054941,23.4620457,923
35747,Metyala,112,87.14478309999998,23.0976162,930
35762,Lachhmanpur,145,87.0374413,23.4317798,923
35764,Gogra,147,87.58036390000002,23.0170536,932
35791,Haroka,174,86.9605313,23.4459205,923
35841,Belkunra,7,87.07860440000002,23.2324146,928
35866,Shaltorha,29,86.9342411,23.524204,923
35886,Khatra,49,86.8546573,22.9731219,925
35903,Tarapur,66,87.10986120000003,23.5550522,923
35909,Jaypur,72,87.44801149999998,23.0551658,932
35912,Pabra,75,87.0299433,23.535714,923
